url,question,answer,sources
"https://ya.ru/neurum/c/drugoe/q/_kakie_dokumenty_po_informacionnoy_bezopasnosti_33a9f137","Какие документы по информационной безопасности должны быть в организации?","Некоторые документы, которые должны быть в организации для обеспечения информационной безопасности: Точный список внутренних документов для организации работ по защите информации в законодательных актах нет, поэтому перечни отличаются в зависимости от вида деятельности компании.","https://searchinform.ru/informatsionnaya-bezopasnost/osnovy-ib/dokumenty-po-informatsionnoj-bezopasnosti/perechen-dokumentov-po-informatsionnoj-bezopasnosti-v-organizatsii/ | https://rt-solar.ru/products/solar_dozor/blog/3537/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_cifrovoy_parol_ot_bukvennocifrovogo_c3c47fd4","Чем отличается цифровой пароль от буквенно-цифрового в системах безопасности?","Возможно, имелись в виду различия между паролями, состоящими только из цифр и из букв и цифр одновременно. Пароли, состоящие только из цифр, называют цифровыми.  К ним относится, например, персональный идентификационный номер (ПИН). Буквенно-цифровые пароли отличаются тем, что в них одновременно используются буквы и цифры.  Такие пароли считаются более сложными, чем те, в которых используются только буквы или цифры.  Это затрудняет злоумышленникам взлом паролей. Таким образом, основное отличие в том, что в первом случае используются только цифры, а во втором — буквы и цифры.","https://otus.ru/journal/vse-o-parolyah/ | https://rt-solar.ru/events/blog/3061/ | https://www.geeksforgeeks.org/types-of-password/ | https://otvet.mail.ru/question/57581360"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_dvuhfaktornaya_autentifikaciya_1c4dfc35","Чем отличается двухфакторная аутентификация от обычного логина в современных системах безопасности?","Двухфакторная аутентификация (2FA) отличается от обычного логина тем, что при 2FA для проверки личности пользователя используются два разных фактора. Обычный логин (однофакторная аутентификация) предполагает использование только логина и пароля.  Системе неважно, кто именно вводит эти данные, главное — чтобы они совпали с базой.  Такой вариант прост для пользователя и системы, но не обеспечивает высокого уровня информационной безопасности. Двухфакторная аутентификация подразумевает два этапа проверки.  Первым этапом чаще всего выступает ввод пароля от учётной записи, затем следует предъявление второго фактора согласно преднастроенному алгоритму.  Например, нужно ввести одноразовый код или предоставить электронный ключ. Некоторые преимущества двухфакторной аутентификации:","https://rt-solar.ru/products/solar_inrights/blog/5536/ | https://dzen.ru/a/YRtcBfjLQz1BEKMb | https://www.mvideo.ru/blog/pomogaem-razobratsya/autentifikacziya-chto-eto-bystro-i-ponyatno | https://habr.com/ru/articles/818987/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_imya_polzovatelya_ot_logina_055acc6d","Чем отличается имя пользователя от логина в социальных сетях?","Возможно, имелись в виду понятия «логин» и «имя пользователя». Логин (login) — это имя пользователя, которое используется для входа в информационные системы, приложения или другие программы.  Логин позволяет идентифицировать пользователя, который заходит на определённый ресурс или пытается получить доступ к программам. В социальных сетях логин нередко связан с именем и фамилией пользователя, но некоторые сайты позволяют использовать более творческие и уникальные имена пользователей. Таким образом, разница между понятиями в том, что логин — это общее определение, а имя пользователя — конкретная реализация логина в контексте социальных сетей.","https://digitalocean.ru/n/chto-takoe-login | https://rt-solar.ru/events/blog/3461/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_kadrovaya_bezopasnost_kompanii_5b5175e5","Чем отличается кадровая безопасность компании от корпоративного шпионажа?","Возможно, имелись в виду различия между понятиями «кадровая безопасность компании» и «корпоративный шпионаж». Кадровая безопасность — это процесс предотвращения негативных воздействий на экономическую безопасность организации за счёт ликвидации или снижения рисков и угроз, связанных с персоналом, его интеллектуальным потенциалом и трудовыми отношениями в целом.  Она включает в себя защиту от разглашения коммерческих тайн, промышленного шпионажа и некомпетентности сотрудников. Корпоративный шпионаж — это действия, направленные на подрыв репутации компании, кражу интеллектуальной собственности, коммерческой тайны. Таким образом, основное отличие заключается в том, что кадровая безопасность охватывает более широкий спектр угроз, связанных с персоналом и трудовыми отношениями, в то время как корпоративный шпионаж связан с целенаправленными действиями, направленными на кражу конфиденциальной информации.","https://www.sec-company.ru/articles/economics/korporativnaya_bezopasnost_kadrovaya_bezopasnost_/ | https://www.finkont.ru/blog/pamyatka-na-sluchay-ugroz-kak-obespechit-vnutrennyuyu-i-vneshnyuyu-bezopasnost-kompanii/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_login_ot_parolya_pri_vhode_3bde31ab","Чем отличается логин от пароля при входе на сайты?","Логин при входе на сайты — это идентификатор пользователя, уникальное имя, которое позволяет системе или веб-сайту распознать конкретного пользователя среди всех остальных.  Логин представляет собой набор символов, который может быть виден другим посетителям сайта. Пароль — это секретная последовательность символов, которая используется вместе с логином для верификации пользователя.  Пароли помогают обеспечить, что только авторизованный пользователь получит доступ к определённому аккаунту.  Хороший пароль обычно состоит из комбинации букв (заглавных и строчных), цифр и специальных символов, что делает его сложным для угадывания или взлома. Таким образом, основное отличие в том, что логин виден другим людям, а пароль не отображается и служит основным средством безопасности пользовательских учётных данных в интернете.","https://resize-web.ru/blog/kak-sozdat-login-i-parol/ | https://www.bolshoyvopros.ru/questions/1483298-v-chem-otlichie-logina-ot-parolja.html | https://otzyvmarketing.ru/articles/chto-takoe-login-i-parol/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_login_ot_user_name_v_kontekste_4983be17","Чем отличается login от user name в контексте информационной безопасности?","Login и user name (имя пользователя) — не одно и то же, хотя эти термины часто используют как синонимы. Login (англ. Login) — это имя пользователя, которое используется для входа в информационные системы, приложения или другие программы.  Логин позволяет идентифицировать пользователя, который заходит на определённый ресурс или пытается получить доступ к программам.  Чаще всего в качестве логина используют имя, адрес электронной почты, номер телефона или другой идентификатор. User name — это одно из названий-синонимов логина. Таким образом, login больше связан с процессом входа в систему, а user name — с самим именем пользователя как уникальным идентификатором в системе.","https://www.sberbank.ru/ru/person/kibrary/vocabulary/username | https://rt-solar.ru/events/blog/3461/ | https://habr.com/ru/articles/7339/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_nesankcionirovannyy_dostup_566e384f","Чем отличается несанкционированный доступ от обычного нарушения безопасности?","Возможно, имелись в виду различия между понятиями «несанкционированный доступ» и «обычное нарушение безопасности». Несанкционированный доступ — это противоправные действия, в результате которых злоумышленник получает доступ к информационным ресурсам и информации в них.  Для обхода систем безопасности нарушитель использует различные способы, включая эксплуатацию уязвимостей в программном обеспечении, физический доступ к незащищённому оборудованию, социальную инженерию. Под несанкционированным доступом понимается не только намеренное проникновение, но и случайное нарушение правил, когда данные оказываются у лиц, не имеющих на это права.  Например, оставленный без присмотра документ на рабочем столе могут увидеть посторонние — это тоже случай несанкционированного доступа. Таким образом, основное отличие в том, что несанкционированный доступ — это целенаправленные противоправные действия, а под несанкционированным доступом понимается более широкое понятие, включающее случайные нарушения правил. При этом несанкционированный доступ является незаконным и может привести к наказанию в виде уголовной, административной и гражданской ответственности.","https://www.sberbank.ru/ru/person/kibrary/vocabulary/nesankcionirovannyy_dostup | https://spectrumdata.ru/blog/proverka-soiskatelya/nesanktsionirovannyy-dostup-nsd-chto-eto-takoe-i-kak-zashchitit-informatsiyu/"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_sistema_wgs84_ot_utm_9e13588e","Чем отличается система WGS84 от UTM?","WGS84 и UTM — это разные системы координат, которые имеют различные области применения. WGS84 — всемирная геодезическая система Земли, глобальная универсальная система координат, которая используется в морской, воздушной, наземной и космической навигации.  За точку отсчёта здесь взят геометрический центр планеты. UTM (универсальная поперечная проекция Меркатора) — универсальная проекция для работы с городами, регионами и небольшими странами.  В отличие от других проекций, в UTM весь мир разбит на равные прямоугольники, и поэтому в ней нет сильных искажений форм и площадей. Таким образом, основное отличие в том, что WGS84 используется для глобальных навигационных целей, а UTM — для работы с картами и схемами городов или сопоставимых по масштабу территорий.","https://www.studycountry.com/wiki/what-is-the-difference-between-wgs84-and-utm | https://softculture.cc/blog/entries/articles/map-projections"
"https://ya.ru/neurum/c/drugoe/q/chem_otlichaetsya_zaschita_personalnyh_dannyh_e3c420d9","Чем отличается защита персональных данных от информационной безопасности?","Защита персональных данных и информационная безопасность имеют разные, но связанные задачи. Защита персональных данных направлена на обеспечение безопасности информации, связанной с физическим лицом.  К таким данным относятся, например, фамилия, имя, возраст, дата рождения, вероисповедание и национальность.  Цель защиты — не допустить несанкционированного доступа к персональным данным, их уничтожения, изменения, блокирования, копирования и распространения. Информационная безопасность охватывает широкий спектр задач, который включает защиту от различных видов угроз — цифровых и аналоговых.  В понятие информационной безопасности входят, в частности, физическая сохранность информации, законодательство в этой сфере и процедуры управления, обеспечивающие сохранность данных. Таким образом, защита персональных данных фокусируется на защите конкретной информации, а информационная безопасность — на обеспечении безопасности данных в целом.","https://rt-solar.ru/products/solar_dozor/blog/3321/ | https://blog.skillfactory.ru/zaschita-personalnyh-dannyh/ | https://www.jetinfo.ru/zaschita-personalnykh/ | https://www.reg.ru/blog/chto-takoe-informacionnaya-bezopasnost/"
